segment_id,region,road_name,source_length_km,matched_link_count,matched_link_ids,minimum_distance_m,buffer_m
11001-33,서울특별시 강남구,올림픽대로,2.0,14,1220036400|1220098100|1220036500|1220102200|1220097400|1220095700|1220005402|1220004902|1220102300|1220097500|1220004801|1220097300|1220345901|1220097700,0.0,20.0
11001-27,서울특별시 강남구,언주로,0.4,4,1220041800|1220041100|1220041900|1220041200,0.0,20.0
11001-24,서울특별시 강남구,동부간선도로,0.3,6,1220002902|1220005000|1220003900|1220005100|1220090100|1220004501,0.0,20.0
11680-27,서울특별시 강남구,광평로34길,0.9,1,1220010102,106.61764342251459,20.0
70207-2,서울특별시 강남구,용인서울선,0.37,1,1220324500,1749.7359702837014,20.0
11680-26,서울특별시 강남구,자곡로,0.9,1,1220045100,1067.9512111312265,20.0
11001-26,서울특별시 강남구,동부간선도로,0.6,1,1220010102,1488.0628377532908,20.0
